,,,,,,
ZipCode,,Date,Min Temp,Max Temp,,Avg Temp
,,,,,,
20132,,1/12/2021,59,30,,45
20132,,2/12/2021,66,41,,54
20132,,3/12/2021,57,36,,47
20132,,4/12/2021,57,39,,48
20132,,5/12/2021,50,34,,42
20132,,6/12/2021,68,37,,53
20132,,7/12/2021,41,30,,36
20132,,1/12/2022,47,31,,39
20132,,2/12/2022,44,33,,39
20132,,3/12/2022,43,34,,39
20132,,4/12/2022,45,31,,38
20132,,5/12/2022,41,31,,36
20132,,6/12/2022,42,28,,35
20132,,7/12/2022,40,26,,33
,,,,,,
20147,,1/12/2021,59,30,,45
20147,,2/12/2021,66,41,,54
20147,,3/12/2021,57,36,,47
20147,,4/12/2021,57,39,,48
20147,,5/12/2021,50,34,,42
20147,,6/12/2021,68,37,,53
20147,,7/12/2021,41,30,,36
20147,,1/12/2022,51,32,,42
20147,,2/12/2022,45,32,,39
20147,,3/12/2022,47,35,,41
20147,,4/12/2022,46,32,,39
20147,,5/12/2022,45,32,,39
20147,,6/12/2022,42,28,,35
20147,,7/12/2022,41,29,,35
,,,,,,
20148,,1/12/2021,59,30,,45
20148,,2/12/2021,66,41,,54
20148,,3/12/2021,57,36,,47
20148,,4/12/2021,57,39,,48
20148,,5/12/2021,50,34,,42
20148,,6/12/2021,68,37,,53
20148,,7/12/2021,41,30,,36
20148,,1/12/2022,51,32,,42
20148,,2/12/2022,45,32,,39
20148,,3/12/2022,47,35,,41
20148,,4/12/2022,46,32,,39
20148,,5/12/2022,45,32,,39
20148,,6/12/2022,42,28,,35
20148,,7/12/2022,41,29,,35
,,,,,,
20165,,1/12/2021,57,26,,42
20165,,2/12/2021,66,44,,55
20165,,3/12/2021,59,36,,48
20165,,4/12/2021,58,34,,46
20165,,5/12/2021,51,30,,41
20165,,6/12/2021,69,39,,54
20165,,7/12/2021,43,28,,36
20165,,1/12/2022,51,33,,42
20165,,2/12/2022,45,32,,39
20165,,3/12/2022,47,35,,41
20165,,4/12/2022,46,33,,40
20165,,5/12/2022,45,33,,39
20165,,6/12/2022,43,30,,37
20165,,7/12/2022,42,29,,36
,,,,,,
20166,,1/12/2021,57,26,,42
20166,,2/12/2021,66,44,,55
20166,,3/12/2021,59,36,,48
20166,,4/12/2021,58,34,,46
20166,,5/12/2021,51,30,,41
20166,,6/12/2021,69,39,,54
20166,,7/12/2021,43,28,,36
20166,,1/12/2022,51,33,,42
20166,,2/12/2022,45,32,,39
20166,,3/12/2022,47,35,,41
20166,,4/12/2022,46,33,,40
20166,,5/12/2022,45,33,,39
20166,,6/12/2022,43,30,,37
20166,,7/12/2022,42,29,,36
,,,,,,
20158,,1/12/2021,59,30,,45
20158,,2/12/2021,66,41,,54
20158,,3/12/2021,57,36,,47
20158,,4/12/2021,57,39,,48
20158,,5/12/2021,50,34,,42
20158,,6/12/2021,68,37,,53
20158,,7/12/2021,41,30,,36
20158,,1/12/2022,47,31,,39
20158,,2/12/2022,44,33,,39
20158,,3/12/2022,43,34,,39
20158,,4/12/2022,45,31,,38
20158,,5/12/2022,41,31,,36
20158,,6/12/2022,42,28,,35
20158,,7/12/2022,40,26,,33
,,,,,,
20175,,1/12/2021,59,30,,45
20175,,2/12/2021,66,41,,54
20175,,3/12/2021,57,36,,47
20175,,4/12/2021,57,39,,48
20175,,5/12/2021,50,34,,42
20175,,6/12/2021,68,37,,53
20175,,7/12/2021,41,30,,36
20175,,1/12/2022,47,30,,39
20175,,2/12/2022,44,32,,38
20175,,3/12/2022,45,32,,39
20175,,4/12/2022,45,31,,38
20175,,5/12/2022,41,30,,36
20175,,6/12/2022,42,27,,35
20175,,7/12/2022,40,25,,33
,,,,,,
20141,,1/12/2021,59,30,,45
20141,,2/12/2021,66,41,,54
20141,,3/12/2021,57,36,,47
20141,,4/12/2021,57,39,,48
20141,,5/12/2021,50,34,,42
20141,,6/12/2021,68,37,,53
20141,,7/12/2021,41,30,,36
20141,,1/12/2022,47,31,,39
20141,,2/12/2022,44,30,,37
20141,,3/12/2022,43,34,,39
20141,,4/12/2022,45,31,,38
20141,,5/12/2022,41,31,,36
20141,,6/12/2022,42,28,,35
20141,,7/12/2022,40,26,,33
,,,,,,
20176,,1/12/2021,59,30,,45
20176,,2/12/2021,66,41,,54
20176,,3/12/2021,57,36,,47
20176,,4/12/2021,57,39,,48
20176,,5/12/2021,50,34,,42
20176,,6/12/2021,68,37,,53
20176,,7/12/2021,41,30,,36
20176,,1/12/2022,47,30,,39
20176,,2/12/2022,44,32,,38
20176,,3/12/2022,45,32,,39
20176,,4/12/2022,45,31,,38
20176,,5/12/2022,41,30,,36
20176,,6/12/2022,42,27,,35
20176,,7/12/2022,40,25,,33
,,,,,,
20180,,1/12/2021,59,30,,45
20180,,2/12/2021,66,41,,54
20180,,3/12/2021,57,36,,47
20180,,4/12/2021,57,39,,48
20180,,5/12/2021,50,34,,42
20180,,6/12/2021,68,37,,53
20180,,7/12/2021,41,30,,36
20180,,1/12/2022,47,29,,38
20180,,2/12/2022,44,31,,38
20180,,3/12/2022,45,30,,38
20180,,4/12/2022,45,29,,37
20180,,5/12/2022,42,29,,36
20180,,6/12/2022,43,26,,35
20180,,7/12/2022,39,23,,31
,,,,,,
20117,,1/12/2021,59,30,,45
20117,,2/12/2021,66,41,,54
20117,,3/12/2021,57,36,,47
20117,,4/12/2021,57,39,,48
20117,,5/12/2021,50,34,,42
20117,,6/12/2021,68,37,,53
20117,,7/12/2021,41,30,,36
20117,,1/12/2022,48,30,,39
20117,,2/12/2022,45,32,,39
20117,,3/12/2022,45,32,,39
20117,,4/12/2022,46,31,,39
20117,,5/12/2022,42,30,,36
20117,,6/12/2022,43,27,,35
20117,,7/12/2022,41,25,,33
,,,,,,
20118,,1/12/2021,59,30,,45
20118,,2/12/2021,66,41,,54
20118,,3/12/2021,57,36,,47
20118,,4/12/2021,57,39,,48
20118,,5/12/2021,50,34,,42
20118,,6/12/2021,68,37,,53
20118,,7/12/2021,41,30,,36
20118,,1/12/2022,48,30,,39
20118,,2/12/2022,45,32,,39
20118,,3/12/2022,45,32,,39
20118,,4/12/2022,46,31,,39
20118,,5/12/2022,42,30,,36
20118,,6/12/2022,43,27,,35
20118,,7/12/2022,41,25,,33
,,,,,,
20152,,1/12/2021,57,26,,42
20152,,2/12/2021,66,44,,55
20152,,3/12/2021,59,36,,48
20152,,4/12/2021,58,34,,46
20152,,5/12/2021,51,30,,41
20152,,6/12/2021,69,39,,54
20152,,7/12/2021,43,28,,36
20152,,1/12/2022,51,33,,42
20152,,2/12/2022,45,32,,39
20152,,3/12/2022,47,35,,41
20152,,4/12/2022,46,33,,40
20152,,5/12/2022,44,33,,39
20152,,6/12/2022,43,30,,37
20152,,7/12/2022,42,29,,36
,,,,,,
20164,,1/12/2021,57,26,,42
20164,,2/12/2021,66,44,,55
20164,,3/12/2021,59,36,,48
20164,,4/12/2021,58,34,,46
20164,,5/12/2021,51,30,,41
20164,,6/12/2021,69,39,,54
20164,,7/12/2021,43,28,,36
20164,,1/12/2022,51,33,,42
20164,,2/12/2022,45,32,,39
20164,,3/12/2022,47,35,,41
20164,,4/12/2022,46,33,,40
20164,,5/12/2022,45,33,,39
20164,,6/12/2022,43,30,,37
20164,,7/12/2022,42,29,,36
,,,,,,
20129,,1/12/2021,59,30,,45
20129,,2/12/2021,66,41,,54
20129,,3/12/2021,57,36,,47
20129,,4/12/2021,57,39,,48
20129,,5/12/2021,50,34,,42
20129,,6/12/2021,68,37,,53
20129,,7/12/2021,41,30,,36
20129,,1/12/2022,47,30,,39
20129,,2/12/2022,44,32,,38
20129,,3/12/2022,45,32,,39
20129,,4/12/2022,45,31,,38
20129,,5/12/2022,41,30,,36
20129,,6/12/2022,42,27,,35
20129,,7/12/2022,40,25,,33
,,,,,,
20105,,1/12/2021,59,30,,45
20105,,2/12/2021,66,41,,54
20105,,3/12/2021,57,36,,47
20105,,4/12/2021,57,39,,48
20105,,5/12/2021,50,34,,42
20105,,6/12/2021,68,37,,53
20105,,7/12/2021,41,30,,36
20105,,1/12/2022,48,30,,39
20105,,2/12/2022,45,32,,39
20105,,3/12/2022,45,32,,39
20105,,4/12/2022,46,31,,39
20105,,5/12/2022,42,30,,36
20105,,6/12/2022,43,27,,35
20105,,7/12/2022,41,25,,33
,,,,,,
20197,,1/12/2021,59,30,,45
20197,,2/12/2021,66,41,,54
20197,,3/12/2021,57,36,,47
20197,,4/12/2021,57,39,,48
20197,,5/12/2021,50,34,,42
20197,,6/12/2021,68,37,,53
20197,,7/12/2021,41,30,,36
20197,,1/12/2022,47,30,,39
20197,,2/12/2022,44,32,,38
20197,,3/12/2022,45,32,,39
20197,,4/12/2022,45,31,,38
20197,,5/12/2022,41,30,,36
20197,,6/12/2022,42,27,,35
20197,,7/12/2022,40,25,,33
